"";"age";"a1980";"a1981";"a1982";"a1983";"a1984";"a1985";"a1986";"a1987";"a1988";"a1989";"a1990";"a1991";"a1992";"a1993";"a1994";"a1995";"a1996";"a1997";"a1998";"a1999";"a2000";"a2001";"a2002";"a2003";"a2004";"a2005";"a2006";"a2007";"a2008";"a2009";"a2010";"a2011";"a2012";"a2013";"a2014"
"1";1;385384;383163;381902;379019;374773;376232;383700;395200;411366;429398;450167;471269;485567;490952;485242;467503;440938;413848;388811;370804;362648;362250;367225;376280;387602;397154;408509;418626;427712;437223;447366;454004;458006;462220;462902
"2";5;547709;532316;514755;498608;487431;482045;478911;478441;478933;481663;489994;501682;518453;539775;566055;590438;607282;614235;611435;595901;568734;538952;510778;487445;471115;465473;467544;478079;492205;506476;520517;534199;546264;558066;574340
"3";10;572815;562050;556454;556138;556905;546686;532379;516450;502393;493839;491308;490440;491196;492688;497041;505408;515377;531037;551071;573466;595536;613639;622059;620409;605623;578583;549680;523182;501493;487234;483372;485508;495727;511200;527549
"4";15;585961;602147;608022;600219;583493;573469;563217;558861;560264;563156;554715;541451;526338;513254;506181;503898;501895;501990;502664;504430;511550;522866;540080;561314;584477;606621;625196;635241;635752;623764;599440;571794;545782;525701;514038
"5";20;548476;546415;547826;557548;576247;593864;610756;617860;611862;598786;591998;581991;576364;577026;580300;571339;556541;539723;524719;515091;512119;511875;513841;516122;519307;527347;540521;560248;583228;609006;634259;653295;662544;663668;653791
"6";25;576828;575050;569533;564979;560991;556260;554882;559507;573789;597981;620285;639165;646069;639227;623983;613834;601019;593503;591596;591938;582674;570622;557412;545914;539217;538641;542077;549301;556745;565439;579450;594048;611248;632567;657833
"7";30;649996;627929;610692;593970;581413;576912;576064;573009;572393;573557;573584;575212;581118;595831;619612;638840;653841;658323;649667;631710;620992;610881;606804;607921;610340;602319;592292;582670;575799;574438;578173;583060;590099;597423;606057
"8";35;642706;667483;677375;675675;663369;644624;623536;608134;594098;585064;584111;586147;584580;584647;586706;585637;584757;589070;601801;622091;640258;657547;664795;658617;642369;632625;623854;622184;626119;632153;627299;618560;608764;601626;600732
"9";40;484945;504188;531614;563553;598955;636925;661865;672387;672138;661825;645219;625864;611354;598058;589936;588789;589741;587416;586375;585671;583516;584446;590840;605233;626606;645111;663216;671921;667600;654447;647580;639846;638112;642080;648852
"10";45;434970;436739;443978;456638;469767;479167;498528;526052;558428;594678;633441;658878;669600;669311;659499;642938;623351;608992;595524;586081;584540;586646;585789;586002;586278;584651;586087;593594;609187;632080;652094;670610;679300;675615;663479
"11";50;454657;447958;441522;434277;430071;427301;429399;436921;449894;463570;473454;493105;520561;552498;588095;625934;650770;661369;661178;650892;634465;615956;602803;590516;581971;580771;583210;583053;584042;585695;585534;587545;594986;610597;633842
"12";55;493588;478415;467672;457461;448237;442265;435973;430003;423531;420119;418064;420583;428239;441167;455043;465127;484266;510788;541752;575993;612753;637730;649172;649935;640356;624372;606335;593850;582330;574683;574407;577486;577620;578946;581154
"13";60;490220;497500;499448;503163;489395;472322;458258;448361;438923;430602;425697;420213;414777;408920;406458;405425;408443;416017;428376;441247;450553;469340;495624;526195;559928;595917;620372;631794;632980;624480;609703;592569;580830;569975;562816
"14";65;450372;446098;440756;433887;443641;456426;463521;465762;469774;457801;442898;430523;421785;413498;406584;403090;398632;393840;388268;385411;384144;387255;395170;407826;420795;430030;448245;473691;503306;536276;571611;595743;607227;608832;600931
"15";70;397692;401823;404404;404953;403827;400828;397804;393726;388181;397911;410531;418054;420888;425192;415275;402935;392751;385487;378408;372203;368858;365059;361248;356760;354799;354288;358025;366261;378873;391831;401188;418848;443303;471816;503418
"16";75;292079;298310;305758;314125;321651;327282;331811;335217;336530;336280;334844;333420;331067;327600;337505;349732;357180;360446;364644;356630;346566;338805;333485;328433;324249;322334;319871;317347;314402;313750;314502;318730;326752;338691;351061
"17";80;182070;188245;194175;199972;205758;210806;216268;222566;229358;235831;241237;245490;249038;250837;251555;251817;252154;251749;250412;259509;270009;276904;279974;283656;279128;273104;268456;265486;262614;260493;260301;259378;258163;256467;256900
"18";85;87760;90463;93425;96781;100793;105159;109455;113690;117660;121479;125504;129730;134340;139190;143884;148073;151293;154472;156803;158237;158730;159832;160207;159916;167764;176448;182204;185017;188186;185924;183346;181494;180303;179441;179317
"19";90;28773;29839;31261;32771;34224;35733;37260;38849;40375;42066;44276;46464;48558;50630;52786;55336;57700;60143;62926;65169;66972;68778;70108;71240;72551;73511;74746;75522;76021;80881;86165;89396;90790;92308;92142
"20";95;5756;6072;6326;6578;6927;7294;7632;8073;8375;8703;9171;9638;10006;10319;10828;11629;12297;12920;13711;14429;15112;15865;16399;16978;17794;18526;19296;19872;20299;20672;21106;21686;21943;22058;24207
"21";100;507;543;612;678;739;788;839;901;915;929;970;997;1038;1098;1137;1246;1288;1349;1415;1486;1559;1680;1794;1878;1964;2078;2194;2301;2418;2527;2636;2781;2901;2968;3020
"22";105;19;22;24;28;28;31;32;41;43;42;46;54;65;59;57;62;65;72;74;72;78;82;83;85;85;95;113;128;128;118;117;123;144;148;153
"23";110;0;1;0;0;0;1;0;0;0;0;0;0;0;1;2;1;0;3;3;3;3;3;3;1;2;3;2;3;3;2;4;3;3;3;4
